price,ema20,ema25,ema30,ema35,ema40,ema45,ema50,vol,vol_ema,predict
0.017804,0.017736,0.017721,0.017709,0.017698,0.017688,0.017679,0.017671,706,481,0.017727299999999994
0.017775,0.017739,0.017726,0.017713,0.017702,0.017692,0.017683,0.017675,547,482,0.017719100000000005
0.017770,0.017742,0.017729,0.017717,0.017706,0.017696,0.017687,0.017679,256,476,0.0177121
0.017752,0.017743,0.017731,0.017719,0.017708,0.017698,0.017690,0.017682,769,443,0.017707099999999996
0.017753,0.017744,0.017732,0.017721,0.017711,0.017701,0.017693,0.017685,168,433,0.017703800000000002
0.017760,0.017746,0.017735,0.017724,0.017713,0.017704,0.017695,0.017688,322,439,0.017699299999999998
0.017699,0.017741,0.017732,0.017722,0.017713,0.017704,0.017696,0.017688,1159.0,473,0.0177019
0.017709,0.017738,0.017730,0.017721,0.017712,0.017704,0.017696,0.017689,225,467,0.0177021
0.017696,0.017734,0.017727,0.017720,0.017712,0.017704,0.017696,0.017689,564,440,0.0177025
0.017668,0.017728,0.017723,0.017716,0.017709,0.017702,0.017695,0.017688,505,457,0.0177043
