price,ema20,vol,vol_ema,dif_sar,rsi
0.022101,0.022104,247,525,7.099999999999815e-05,48.14
0.022068,0.022100,522,540,3.500000000000031e-05,42.02
0.022039,0.022094,3864.0,689,-0.00010399999999999993,37.52
0.022044,0.022090,1008.9999999999999,690,-9.400000000000033e-05,38.74
0.022047,0.022086,897,687,-8.599999999999927e-05,39.50
0.022057,0.022083,812,700,-7.099999999999815e-05,42.09
0.022061,0.022081,276,686,-6.199999999999956e-05,43.14
0.022044,0.022077,435,682,-7.399999999999768e-05,39.84
0.022072,0.022077,520,684,-4.200000000000037e-05,47.03
0.022092,0.022078,270,675,-1.6999999999999654e-05,51.49
0.022047,0.022075,415,679,-5.6999999999998024e-05,42.76
0.022041,0.022072,423,691,-5.9000000000000025e-05,41.75
0.022057,0.022071,556,704,-3.900000000000084e-05,45.47
0.022047,0.022068,639,721,-4.49999999999999e-05,43.59
0.022073,0.022069,2479.0,809,-1.6000000000002124e-05,49.43
0.022071,0.022069,1212.0,853,0.00018599999999999867,49.01
0.022117,0.022074,556,861,0.00022300000000000098,57.88
0.022003,0.022067,3658.0,1016.0,9.10000000000008e-05,39.53
0.022030,0.022063,4550.0,1215.0,-0.00015899999999999942,44.05
0.022020,0.022059,1245.0,1229.0,-0.00016299999999999995,42.78
0.022034,0.022057,1154.0,1275.0,-0.0001429999999999973,45.17
0.022035,0.022055,1070.0,1302.0,-0.0001360000000000007,45.35
